,Date,Close,High,Low,Open,Volume,Year,Month,Day,Weekday,year-month,high_low_diff,open_close_diff,daily_retun_persent
0,1997-05-15,0.0979169979691505,0.125,0.0963540002703666,0.1218750029802322,1443120000,1997,5,15,Thursday,1997-05,0.0286459997296334,0.023958005011081696,-19.657849784805848
1,1997-05-16,0.0864579975605011,0.0989580005407333,0.0854170024394989,0.0984380021691322,294000000,1997,5,16,Friday,1997-05,0.013540998101234394,0.011980004608631106,-12.170101327379182
2,1997-05-19,0.0854170024394989,0.0885419994592666,0.0812499970197677,0.0880210027098655,122136000,1997,5,19,Monday,1997-05,0.0072920024394988875,0.0026040002703665993,-2.958385146951683
3,1997-05-20,0.0817710012197494,0.0874999985098838,0.0817710012197494,0.0864579975605011,109344000,1997,5,20,Tuesday,1997-05,0.005728997290134402,0.0046869963407517035,-5.421125255037121
4,1997-05-21,0.0713540017604827,0.0822919979691505,0.0687500014901161,0.0817710012197494,377064000,1997,5,21,Wednesday,1997-05,0.013541996479034396,0.01041699945926669,-12.739234329872396
5,1997-05-22,0.0697920024394989,0.0723960027098655,0.0656249970197677,0.0718749985098838,235536000,1997,5,22,Thursday,1997-05,0.006771005690097795,0.002082996070384896,-2.8980815493143357
6,1997-05-23,0.0750000029802322,0.0760419964790344,0.0666669979691505,0.0703129991889,318744000,1997,5,23,Friday,1997-05,0.009374998509883894,-0.004687003791332203,6.6659136225156495
7,1997-05-27,0.0791670009493827,0.0822919979691505,0.0729169994592666,0.0755209997296333,173952000,1997,5,27,Tuesday,1997-05,0.009374998509883908,-0.003646001219749395,4.827797874501334
8,1997-05-28,0.0765630006790161,0.0817710012197494,0.0765630006790161,0.0812499970197677,91488000,1997,5,28,Wednesday,1997-05,0.005208000540733296,0.004686996340751606,-5.768611092516452
9,1997-05-29,0.0752599984407424,0.0770829990506172,0.0739580020308494,0.0770829990506172,69456000,1997,5,29,Thursday,1997-05,0.003124997019767803,0.0018230006098748086,-2.364984020247733
10,1997-05-30,0.0750000029802322,0.0755209997296333,0.0739580020308494,0.0750000029802322,51888000,1997,5,30,Friday,1997-05,0.0015629976987839023,0.0,0.0
